Country code,State,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,NY,11377,,8.88,NY11377,1,0,1,
US,NY,11378,,8.88,NY11378,1,0,1,
US,NY,11379,,8.88,NY11379,1,0,1,
US,NY,11380,,8.88,NY11380,1,0,1,
US,NY,11385,,8.88,NY11385,1,0,1,
US,NY,11386,,8.88,NY11386,1,0,1,
US,NY,11405,,8.88,NY11405,1,0,1,
US,NY,11411,,8.88,NY11411,1,0,1,
US,NY,11412,,8.88,NY11412,1,0,1,
US,NY,11413,,8.88,NY11413,1,0,1,
US,NY,11414,,8.88,NY11414,1,0,1,
US,NY,11415,,8.88,NY11415,1,0,1,
US,NY,11416,,8.88,NY11416,1,0,1,
US,NY,11417,,8.88,NY11417,1,0,1,
US,NY,11418,,8.88,NY11418,1,0,1,
US,NY,11419,,8.88,NY11419,1,0,1,
US,NY,11420,,8.88,NY11420,1,0,1,
US,NY,11421,,8.88,NY11421,1,0,1,
US,NY,11422,,8.88,NY11422,1,0,1,
US,NY,11423,,8.88,NY11423,1,0,1,
US,NY,11424,,8.88,NY11424,1,0,1,
US,NY,11425,,8.88,NY11425,1,0,1,
US,NY,11426,,8.88,NY11426,1,0,1,
US,NY,11427,,8.88,NY11427,1,0,1,
US,NY,11428,,8.88,NY11428,1,0,1,
US,NY,11429,,8.88,NY11429,1,0,1,
US,NY,11430,,8.88,NY11430,1,0,1,
US,NY,11431,,8.88,NY11431,1,0,1,
US,NY,11432,,8.88,NY11432,1,0,1,
US,NY,11433,,8.88,NY11433,1,0,1,
US,NY,11434,,8.88,NY11434,1,0,1,
US,NY,11435,,8.88,NY11435,1,0,1,
US,NY,11436,,8.88,NY11436,1,0,1,
US,NY,11437,,8.88,NY11437,1,0,1,
US,NY,11439,,8.88,NY11439,1,0,1,
US,NY,11451,,8.88,NY11451,1,0,1,
US,NY,11499,,8.88,NY11499,1,0,1,
US,NY,11501,,8.63,NY11501,1,0,1,
US,NY,11507,,8.63,NY11507,1,0,1,
US,NY,11509,,8.63,NY11509,1,0,1,
US,NY,11510,,8.63,NY11510,1,0,1,
US,NY,11514,,8.63,NY11514,1,0,1,
US,NY,11516,,8.63,NY11516,1,0,1,
US,NY,11518,,8.63,NY11518,1,0,1,
US,NY,11520,,8.63,NY11520,1,0,1,
US,NY,11530,,8.63,NY11530,1,0,1,
US,NY,11531,,8.63,NY11531,1,0,1,
US,NY,11542,,8.63,NY11542,1,0,1,
US,NY,11545,,8.63,NY11545,1,0,1,
US,NY,11547,,8.63,NY11547,1,0,1,
US,NY,11548,,8.63,NY11548,1,0,1,
US,NY,11549,,8.63,NY11549,1,0,1,
US,NY,11550,,8.63,NY11550,1,0,1,
US,NY,11551,,8.63,NY11551,1,0,1,
US,NY,11552,,8.63,NY11552,1,0,1,
US,NY,11553,,8.63,NY11553,1,0,1,
US,NY,11554,,8.63,NY11554,1,0,1,
US,NY,11555,,8.63,NY11555,1,0,1,
US,NY,11556,,8.63,NY11556,1,0,1,
US,NY,11557,,8.63,NY11557,1,0,1,
US,NY,11558,,8.63,NY11558,1,0,1,
US,NY,11559,,8.88,NY11559,1,0,1,
US,NY,11560,,8.63,NY11560,1,0,1,
US,NY,11561,,8.63,NY11561,1,0,1,
US,NY,11563,,8.63,NY11563,1,0,1,
US,NY,11565,,8.63,NY11565,1,0,1,
US,NY,11566,,8.63,NY11566,1,0,1,
US,NY,11568,,8.63,NY11568,1,0,1,
US,NY,11569,,8.63,NY11569,1,0,1,
US,NY,11570,,8.63,NY11570,1,0,1,
US,NY,11571,,8.63,NY11571,1,0,1,
US,NY,11572,,8.63,NY11572,1,0,1,
US,NY,11575,,8.63,NY11575,1,0,1,
US,NY,11576,,8.63,NY11576,1,0,1,
US,NY,11577,,8.63,NY11577,1,0,1,
US,NY,11579,,8.63,NY11579,1,0,1,
US,NY,11580,,8.88,NY11580,1,0,1,
US,NY,11581,,8.88,NY11581,1,0,1,
US,NY,11582,,8.63,NY11582,1,0,1,
US,NY,11590,,8.63,NY11590,1,0,1,
US,NY,11596,,8.63,NY11596,1,0,1,
US,NY,11598,,8.63,NY11598,1,0,1,
US,NY,11599,,8.63,NY11599,1,0,1,
US,NY,11690,,8.63,NY11690,1,0,1,
US,NY,11691,,8.88,NY11691,1,0,1,
US,NY,11692,,8.88,NY11692,1,0,1,
US,NY,11693,,8.88,NY11693,1,0,1,
US,NY,11694,,8.88,NY11694,1,0,1,
US,NY,11695,,8.63,NY11695,1,0,1,
US,NY,11697,,8.88,NY11697,1,0,1,
US,NY,11701,,8.63,NY11701,1,0,1,
US,NY,11702,,8.63,NY11702,1,0,1,
US,NY,11703,,8.63,NY11703,1,0,1,
US,NY,11704,,8.63,NY11704,1,0,1,
US,NY,11705,,8.63,NY11705,1,0,1,
US,NY,11706,,8.63,NY11706,1,0,1,
US,NY,11707,,8.63,NY11707,1,0,1,
US,NY,11709,,8.63,NY11709,1,0,1,
US,NY,11710,,8.63,NY11710,1,0,1,
US,NY,11713,,8.63,NY11713,1,0,1,
US,NY,11714,,8.63,NY11714,1,0,1,
US,NY,11715,,8.63,NY11715,1,0,1,
US,NY,11716,,8.63,NY11716,1,0,1,
US,NY,11717,,8.63,NY11717,1,0,1,
US,NY,11718,,8.63,NY11718,1,0,1,
US,NY,11719,,8.63,NY11719,1,0,1,
US,NY,11720,,8.63,NY11720,1,0,1,
